Date,Predicted_Close
2024-01-01,19877.620484169336
2024-01-02,19895.703033423746
2024-01-03,19911.300203336865
2024-01-04,19923.96102803433
2024-01-05,19934.106071196726
2024-01-08,19942.192210236095
2024-01-09,19948.64254234917
2024-01-10,19953.82189386128
2024-01-11,19958.01317407563
2024-01-12,19961.43595439172
2024-01-15,19964.247312810734
2024-01-16,19966.577303161608
2024-01-17,19968.510375982612
2024-01-18,19970.12591477972
2024-01-19,19971.471211854365
2024-01-22,19972.592715002593
2024-01-23,19973.52673795586
2024-01-24,19974.30199389718
2024-01-25,19974.93959546112
2024-01-26,19975.465722314544
2024-01-29,19975.898109070487
2024-01-30,19976.246889793543
2024-01-31,19976.528954591366
2024-02-01,19976.7519040124
2024-02-02,19976.928405637384
2024-02-05,19977.07112704706
2024-02-06,19977.179223736046
2024-02-07,19977.260296252785
2024-02-08,19977.32110064034
2024-02-09,19977.365859425623
